transaction_id,timestamp,product_id,category,price,quantity,customer_id,location,payment_method,shipping_cost
TXN1001,2023-11-01 10:00:00,P101,Electronics,500.00,1,CUST001,New York,Credit Card,10.00
TXN1002,2023-11-01 10:15:00,P102,Books,25.00,2,CUST002,London,PayPal,5.00
TXN1003,2023-3-01 10:30:00,P103,Clothing,75.00,1,CUST003,Paris,Credit Card,7.50
TXN1004,2023-11-01 10:45:00,P104,Home Goods,120.00,1,CUST004,Tokyo,Bank Transfer,15.00
TXN1005,2023-11-01 11:00:00,P101,Electronics,500.00,1,CUST005,New York,Credit Card,10.00
TXN1006,2023-11-01 11:15:00,P105,Books,15.00,3,CUST006,London,PayPal,5.00
TXN1007,2023-11-01 11:30:00,P106,Clothing,45.00,2,CUST007,Paris,Credit Card,7.50
TXN1008,2023-11-01 11:45:00,P107,Home Goods,80.00,2,CUST008,Tokyo,Bank Transfer,15.00
TXN1009,2023-11-01 12:00:00,P102,Books,25.00,1,CUST009,New York,Credit Card,10.00
TXN1010,2023-11-01 12:15:00,P108,Electronics,800.00,1,CUST010,London,PayPal,5.00
TXN1011,2023-11-01 12:30:00,P103,Clothing,75.00,1,CUST011,Paris,Credit Card,7.50
TXN1012,2023-11-01 12:45:00,P109,Home Goods,55.00,3,CUST012,Tokyo,Bank Transfer,15.00
TXN1013,2023-11-01 13:00:00,P104,Home Goods,120.00,1,CUST013,New York,Credit Card,10.00
TXN1014,2023-11-01 13:15:00,P110,Electronics,1200.00,1,CUST014,London,PayPal,5.00
TXN1015,2023-11-01 13:30:00,P105,Books,15.00,2,CUST015,Paris,Credit Card,7.50
TXN1016,2023-11-01 13:45:00,P111,Clothing,30.00,4,CUST016,Tokyo,Bank Transfer,15.00
TXN1017,2023-11-01 14:00:00,P106,Clothing,45.00,1,CUST017,New York,Credit Card,10.00
TXN1018,2023-11-01 14:15:00,P112,Electronics,250.00,2,CUST018,London,PayPal,5.00
TXN1019,2023-11-01 14:30:00,P107,Home Goods,80.00,1,CUST019,Paris,Credit Card,7.50
TXN1020,2023-11-01 14:45:00,P113,Books,30.00,1,CUST020,Tokyo,Bank Transfer,15.00
TXN1021,2023-11-02 09:00:00,P108,Electronics,800.00,1,CUST021,New York,Credit Card,10.00
TXN1022,2023-11-02 09:15:00,P109,Home Goods,55.00,2,CUST022,London,PayPal,5.00
TXN1023,2023-11-02 09:30:00,P110,Electronics,1200.00,1,CUST023,Paris,Credit Card,7.50
TXN1024,2023-11-02 09:45:00,P111,Clothing,30.00,3,CUST024,Tokyo,Bank Transfer,15.00
TXN1025,2023-11-02 10:00:00,P112,Electronics,250.00,1,CUST025,New York,Credit Card,10.00
TXN1026,2023-11-02 10:15:00,P113,Books,30.00,2,CUST026,London,PayPal,5.00
TXN1027,2023-11-02 10:30:00,P101,Electronics,500.00,1,CUST027,Paris,Credit Card,7.50
TXN1028,2023-11-02 10:45:00,P102,Books,25.00,3,CUST028,Tokyo,Bank Transfer,15.00
TXN1029,2023-11-02 11:00:00,P103,Clothing,75.00,2,CUST029,New York,Credit Card,10.00
TXN1030,2023-11-02 11:15:00,P104,Home Goods,120.00,1,CUST030,London,PayPal,5.00
TXN1031,2023-11-03 14:00:00,P105,Books,15.00,4,CUST031,Paris,Credit Card,7.50
TXN1032,2023-11-03 14:15:00,P106,Clothing,45.00,2,CUST032,Tokyo,Bank Transfer,15.00
TXN1033,2023-11-03 14:30:00,P107,Home Goods,80.00,1,CUST033,New York,Credit Card,10.00
TXN1034,2023-11-03 14:45:00,P108,Electronics,800.00,1,CUST034,London,PayPal,5.00
TXN1035,2023-11-03 15:00:00,P109,Home Goods,55.00,2,CUST035,Paris,Credit Card,7.50
TXN1036,2023-11-03 15:15:00,P110,Electronics,1200.00,1,CUST036,Tokyo,Bank Transfer,15.00
TXN1037,2023-11-03 15:30:00,P111,Clothing,30.00,3,CUST037,New York,Credit Card,10.00
TXN1038,2023-11-03 15:45:00,P112,Electronics,250.00,2,CUST038,London,PayPal,5.00
TXN1039,2023-11-03 16:00:00,P113,Books,30.00,1,CUST039,Paris,Credit Card,7.50
TXN1040,2023-11-03 16:15:00,P101,Electronics,500.00,1,CUST040,Tokyo,Bank Transfer,15.00
TXN1041,2023-11-04 11:00:00,P102,Books,25.00,2,CUST041,New York,Credit Card,10.00
TXN1042,2023-11-04 11:15:00,P103,Clothing,75.00,1,CUST042,London,PayPal,5.00
TXN1043,2023-11-04 11:30:00,P104,Home Goods,120.00,1,CUST043,Paris,Credit Card,7.50
TXN1044,2023-11-04 11:45:00,P105,Books,15.00,3,CUST044,Tokyo,Bank Transfer,15.00
TXN1045,2023-11-04 12:00:00,P106,Clothing,45.00,2,CUST045,New York,Credit Card,10.00
TXN1046,2023-11-04 12:15:00,P107,Home Goods,80.00,2,CUST046,London,PayPal,5.00
TXN1047,2023-11-04 12:30:00,P108,Electronics,800.00,1,CUST047,Paris,Credit Card,7.50
TXN1048,2023-11-04 12:45:00,P109,Home Goods,55.00,3,CUST048,Tokyo,Bank Transfer,15.00
TXN1049,2023-11-04 13:00:00,P110,Electronics,1200.00,1,CUST049,New York,Credit Card,10.00
TXN1050,2023-11-04 13:15:00,P111,Clothing,30.00,4,CUST050,London,PayPal,5.00
TXN1051,2023-11-05 16:00:00,P112,Electronics,250.00,2,CUST051,Paris,Credit Card,7.50
TXN1052,2023-11-05 16:15:00,P113,Books,30.00,1,CUST052,Tokyo,Bank Transfer,15.00
